monthly_reporting_period,risk_adjusted_yield
2023-05-01,4.01
2023-06-01,4.0
2023-07-01,4.03
2023-08-01,4.09
2023-09-01,4.11
2023-10-01,4.17
2023-11-01,5.39
2023-12-01,4.18
2024-01-01,4.3
2024-02-01,4.3
2024-03-01,4.27
2024-04-01,4.29
2024-05-01,4.23
2024-06-01,4.38
2024-07-01,4.26
2024-08-01,4.37
2024-09-01,4.56
2024-10-01,4.75
2024-11-01,4.5
2024-12-01,3.98
