property_state,origination_year,avg_interest_rate,default_rate_percent,avg_loss_severity,avg_cost_ratio
MI,2017,4.08,0.12,-0.0,-0.0002
MI,2018,4.6,0.11,-0.0,-0.0003
MI,2019,4.35,0.07,-0.0,-0.0002
MI,2020,3.26,0.03,-0.0,-0.0001
MI,2021,2.94,0.03,-0.0,-0.0
MI,2022,4.29,0.05,-0.0,-0.0
MI,2023,6.78,0.02,-0.0,-0.0
MI,2024,6.96,0.0,-0.0,-0.0
MI,2025,6.75,0.0,0.0,0.0
MN,1999,7.33,0.37,-0.0,-0.0004
MN,2000,8.14,0.46,-0.0,-0.0004
MN,2001,6.91,0.55,-0.001,-0.0005
MN,2002,6.32,0.7,-0.002,-0.0008
MN,2003,5.44,1.26,-0.004,-0.0015
MN,2004,5.54,3.23,-0.012,-0.0036
MN,2005,5.64,5.43,-0.022,-0.0056
MN,2006,6.33,7.47,-0.035,-0.0073
MN,2007,6.28,8.04,-0.036,-0.0081
MN,2008,5.97,4.37,-0.018,-0.0045
MN,2009,4.95,0.94,-0.003,-0.0009
MN,2010,4.73,1.11,-0.003,-0.0012
MN,2011,4.36,0.75,-0.002,-0.0009
MN,2012,3.77,0.6,-0.002,-0.0007
MN,2013,3.64,0.42,-0.001,-0.0005
MN,2014,4.29,0.38,-0.001,-0.0005
MN,2015,3.93,0.17,-0.0,-0.0002
MN,2016,3.76,0.14,-0.0,-0.0002
MN,2017,4.03,0.13,-0.0,-0.0002
MN,2018,4.53,0.15,-0.0,-0.0002
MN,2019,4.21,0.08,-0.0,-0.0001
MN,2020,3.2,0.03,-0.0,-0.0
MN,2021,2.88,0.02,-0.0,-0.0
MN,2022,4.25,0.03,-0.0,-0.0
MN,2023,6.64,0.02,-0.0,-0.0
MN,2024,6.87,0.0,0.0,0.0
MN,2025,6.38,0.0,0.0,0.0
MO,1999,7.43,0.83,-0.002,-0.001
MO,2000,8.29,1.4,-0.004,-0.0013
MO,2001,7.09,1.16,-0.004,-0.0011
MO,2002,6.46,1.32,-0.005,-0.0013
MO,2003,5.53,1.12,-0.004,-0.0013
MO,2004,5.69,2.51,-0.011,-0.0028
MO,2005,5.78,3.83,-0.017,-0.0037
MO,2006,6.46,5.01,-0.024,-0.0049
MO,2007,6.45,6.85,-0.033,-0.006
MO,2008,6.15,4.36,-0.022,-0.0039
MO,2009,5.06,1.0,-0.005,-0.001
MO,2010,4.75,0.89,-0.004,-0.0011
MO,2011,4.37,0.56,-0.003,-0.0009
MO,2012,3.76,0.44,-0.002,-0.0006
MO,2013,3.68,0.5,-0.003,-0.0009
MO,2014,4.32,0.43,-0.002,-0.0008
MO,2015,3.95,0.23,-0.001,-0.0005
MO,2016,3.77,0.14,-0.001,-0.0003
MO,2017,4.06,0.17,-0.001,-0.0004
MO,2018,4.58,0.11,-0.001,-0.0002
MO,2019,4.32,0.07,-0.0,-0.0001
MO,2020,3.26,0.01,-0.0,-0.0
MO,2021,2.93,0.02,-0.0,-0.0
MO,2022,4.28,0.04,-0.0,-0.0
MO,2023,6.76,0.0,-0.0,-0.0
MO,2024,6.93,0.0,0.0,0.0
MS,1999,7.43,1.95,-0.007,-0.002
MS,2000,8.15,2.34,-0.009,-0.0017
MS,2001,6.91,2.02,-0.007,-0.002
MS,2002,6.4,2.13,-0.01,-0.0027
MS,2003,5.44,1.55,-0.006,-0.0014
MS,2004,5.67,2.49,-0.011,-0.0028
MS,2005,5.72,3.34,-0.014,-0.0023
MS,2006,6.4,5.03,-0.025,-0.0063
MS,2007,6.38,7.08,-0.037,-0.0077
MS,2008,6.18,7.22,-0.047,-0.0077
MS,2009,5.1,2.23,-0.013,-0.0031
MS,2010,4.8,1.29,-0.008,-0.0017
MS,2011,4.47,0.89,-0.005,-0.0013
MS,2012,3.81,0.92,-0.005,-0.0012
MS,2013,3.7,0.72,-0.006,-0.0015
MS,2014,4.34,0.54,-0.002,-0.001
MS,2015,3.97,0.42,-0.003,-0.001
MS,2016,3.83,0.45,-0.001,-0.0009
MS,2017,4.08,0.23,-0.002,-0.0007
MS,2018,4.58,0.12,-0.001,-0.0004
MS,2019,4.38,0.1,-0.001,-0.0003
MS,2020,3.29,0.01,-0.0,-0.0
MS,2021,2.94,0.03,-0.0,-0.0001
MS,2022,4.27,0.05,-0.0,-0.0
MS,2023,6.67,0.03,-0.0,-0.0
MS,2024,6.89,0.0,0.0,0.0
MT,1999,7.39,0.77,-0.002,-0.0008
MT,2000,8.14,0.66,-0.001,-0.0006
MT,2001,6.94,0.47,-0.001,-0.0004
MT,2002,6.38,0.37,-0.001,-0.0004
MT,2003,5.46,0.24,-0.001,-0.0003
MT,2004,5.61,0.72,-0.002,-0.0009
MT,2005,5.68,1.35,-0.004,-0.0012
MT,2006,6.35,2.37,-0.008,-0.0021
MT,2007,6.32,4.09,-0.014,-0.0029
MT,2008,6.02,3.39,-0.011,-0.0024
MT,2009,4.95,0.94,-0.003,-0.0006
MT,2010,4.77,0.85,-0.003,-0.0007
MT,2011,4.38,0.2,-0.001,-0.0003
MT,2012,3.72,0.22,-0.001,-0.0002
MT,2013,3.62,0.2,-0.001,-0.0002
MT,2014,4.29,0.16,-0.001,-0.0003
MT,2015,3.95,0.12,-0.001,-0.0003
MT,2016,3.78,0.07,-0.0,-0.0002
MT,2017,4.03,0.03,-0.0,-0.0001
MT,2018,4.56,0.0,-0.0,-0.0
MT,2019,4.3,0.03,-0.0,-0.0
MT,2020,3.28,0.0,-0.0,-0.0
MT,2021,2.97,0.01,0.0,0.0
MT,2022,4.19,0.0,0.0,0.0
MT,2023,6.66,0.0,0.0,0.0
MT,2024,6.84,0.0,0.0,0.0
NC,1999,7.27,1.1,-0.003,-0.0013
NC,2000,8.07,1.64,-0.005,-0.0016
NC,2001,6.94,2.14,-0.008,-0.0022
NC,2002,6.37,1.97,-0.007,-0.0021
NC,2003,5.41,1.07,-0.004,-0.0015
NC,2004,5.6,1.77,-0.007,-0.0027
NC,2005,5.67,2.35,-0.009,-0.0032
NC,2006,6.35,3.4,-0.014,-0.0042
NC,2007,6.32,4.58,-0.019,-0.0051
NC,2008,6.02,3.35,-0.014,-0.0036
NC,2009,4.94,0.86,-0.004,-0.0009
NC,2010,4.74,0.78,-0.003,-0.001
NC,2011,4.43,0.49,-0.002,-0.0007
NC,2012,3.8,0.29,-0.001,-0.0005
NC,2013,3.69,0.25,-0.001,-0.0005
NC,2014,4.31,0.18,-0.001,-0.0005
NC,2015,3.95,0.09,-0.0,-0.0002
NC,2016,3.78,0.06,-0.0,-0.0002
NC,2017,4.03,0.06,-0.0,-0.0002
NC,2018,4.53,0.05,-0.0,-0.0001
NC,2019,4.29,0.01,-0.0,-0.0001
NC,2020,3.27,0.0,-0.0,-0.0
NC,2021,2.93,0.0,-0.0,-0.0
NC,2022,4.13,0.01,-0.0,-0.0
NC,2023,6.56,0.0,0.0,0.0
NC,2024,6.82,0.0,0.0,0.0
NC,2025,6.32,0.0,0.0,0.0
ND,1999,7.26,0.52,-0.001,-0.0013
ND,2000,8.06,0.23,-0.0,-0.0
ND,2001,6.86,0.36,-0.001,-0.0003
ND,2002,6.26,0.41,-0.001,-0.0007
ND,2003,5.35,0.2,-0.001,-0.0003
ND,2004,5.51,0.5,-0.003,-0.0012
ND,2005,5.61,0.57,-0.002,-0.0009
ND,2006,6.31,0.97,-0.004,-0.0012
ND,2007,6.28,1.57,-0.006,-0.0023
ND,2008,5.94,0.82,-0.002,-0.0009
ND,2009,4.89,0.28,-0.001,-0.0003
ND,2010,4.67,0.18,-0.001,-0.0005
ND,2011,4.25,0.0,-0.0,-0.0001
ND,2012,3.59,0.17,-0.001,-0.0004
ND,2013,3.47,0.23,-0.001,-0.0005
ND,2014,4.19,0.59,-0.001,-0.0006
ND,2015,3.8,0.23,-0.001,-0.0006
ND,2016,3.62,0.05,-0.0,-0.0
ND,2017,3.89,0.12,-0.001,-0.0002
ND,2018,4.32,0.11,-0.0,-0.0003
ND,2019,4.06,0.11,-0.0,-0.0001
ND,2020,3.08,0.01,-0.0,-0.0
ND,2021,2.75,0.0,0.0,0.0
ND,2022,3.96,0.0,0.0,0.0
ND,2023,6.54,0.0,0.0,0.0
ND,2024,6.72,0.0,0.0,0.0
NE,1999,7.35,0.48,-0.001,-0.0004
NE,2000,8.18,0.65,-0.002,-0.0007
NE,2001,7.0,0.69,-0.002,-0.0008
NE,2002,6.43,0.71,-0.002,-0.0008
NE,2003,5.51,0.69,-0.002,-0.0007
NE,2004,5.63,1.62,-0.006,-0.0017
NE,2005,5.72,2.41,-0.008,-0.0027
NE,2006,6.4,2.64,-0.01,-0.0027
NE,2007,6.4,2.94,-0.012,-0.003
NE,2008,6.1,1.29,-0.004,-0.0015
NE,2009,5.05,0.22,-0.001,-0.0003
NE,2010,4.76,0.23,-0.001,-0.0003
NE,2011,4.31,0.15,-0.001,-0.0002
NE,2012,3.73,0.13,-0.001,-0.0002
NE,2013,3.56,0.14,-0.001,-0.0002
NE,2014,4.26,0.15,-0.0,-0.0002
NE,2015,3.9,0.09,-0.0,-0.0001
NE,2016,3.72,0.07,-0.0,-0.0
NE,2017,3.98,0.07,-0.0,-0.0002
NE,2018,4.51,0.09,-0.0,-0.0001
NE,2019,4.25,0.04,-0.0,-0.0001
NE,2020,3.19,0.01,-0.0,-0.0
NE,2021,2.87,0.01,-0.0,-0.0
NE,2022,4.21,0.02,-0.0,-0.0
NE,2023,6.7,0.02,-0.0,-0.0
NE,2024,6.88,0.0,0.0,0.0
NH,1999,7.39,0.07,-0.0,-0.0001
NH,2000,8.24,0.11,-0.0,-0.0001
NH,2001,7.02,0.09,-0.0,-0.0002
NH,2002,6.47,0.17,-0.001,-0.0003
NH,2003,5.54,0.46,-0.002,-0.0008
NH,2004,5.66,1.57,-0.006,-0.0023
NH,2005,5.75,3.98,-0.016,-0.0047
NH,2006,6.41,6.3,-0.029,-0.0061
NH,2007,6.38,6.83,-0.031,-0.0069
NH,2008,6.11,3.76,-0.019,-0.005
NH,2009,5.02,0.75,-0.003,-0.001
NH,2010,4.79,1.0,-0.004,-0.0011
NH,2011,4.42,0.67,-0.003,-0.0011
NH,2012,3.78,0.42,-0.002,-0.0005
NH,2013,3.67,0.37,-0.002,-0.0007
NH,2014,4.3,0.2,-0.001,-0.0003
NH,2015,3.92,0.07,-0.0,-0.0002
NH,2016,3.74,0.1,-0.0,-0.0002
NH,2017,4.01,0.05,-0.0,-0.0001
NH,2018,4.54,0.03,-0.0,-0.0001
NH,2019,4.23,0.02,-0.0,-0.0001
NH,2020,3.24,0.0,-0.0,-0.0
NH,2021,2.93,0.0,-0.0,-0.0
NH,2022,4.16,0.0,0.0,0.0
NH,2023,6.73,0.0,0.0,0.0
NH,2024,6.96,0.0,0.0,0.0
NJ,1999,7.29,0.14,-0.001,-0.0009
NJ,2000,8.14,0.18,-0.001,-0.0008
NJ,2001,7.06,0.1,-0.001,-0.0006
NJ,2002,6.48,0.15,-0.002,-0.001
NJ,2003,5.52,0.24,-0.003,-0.0017
NJ,2004,5.65,0.96,-0.011,-0.0047
NJ,2005,5.73,2.43,-0.028,-0.0088
NJ,2006,6.38,4.07,-0.047,-0.0123
NJ,2007,6.34,5.07,-0.056,-0.0139
NJ,2008,6.09,3.33,-0.038,-0.0098
NJ,2009,5.04,0.74,-0.007,-0.002
NJ,2010,4.83,0.85,-0.007,-0.0021
NJ,2011,4.42,0.7,-0.006,-0.0017
NJ,2012,3.8,0.58,-0.004,-0.0011
NJ,2013,3.66,0.55,-0.004,-0.0012
NJ,2014,4.32,0.36,-0.003,-0.0011
NJ,2015,3.96,0.11,-0.001,-0.0004
NJ,2016,3.78,0.07,-0.0,-0.0003
NJ,2017,4.05,0.07,-0.0,-0.0003
NJ,2018,4.54,0.04,-0.0,-0.0002
NJ,2019,4.25,0.01,-0.0,-0.0
NJ,2020,3.18,0.0,-0.0,-0.0
NJ,2021,2.86,0.0,-0.0,-0.0
NJ,2022,4.1,0.0,-0.0,-0.0
NJ,2023,6.64,0.0,0.0,0.0
NJ,2024,6.89,0.0,0.0,0.0
NM,1999,7.4,1.41,-0.006,-0.0019
NM,2000,8.19,1.65,-0.005,-0.0019
NM,2001,7.01,1.12,-0.004,-0.0012
NM,2002,6.49,1.25,-0.005,-0.0016
NM,2003,5.57,0.95,-0.003,-0.0015
NM,2004,5.74,1.23,-0.005,-0.0022
NM,2005,5.77,2.18,-0.009,-0.0031
NM,2006,6.43,4.25,-0.018,-0.005
NM,2007,6.4,6.23,-0.03,-0.0072
NM,2008,6.16,4.98,-0.025,-0.0061
NM,2009,5.06,1.38,-0.007,-0.0016
NM,2010,4.81,1.06,-0.004,-0.0012
NM,2011,4.51,0.94,-0.003,-0.0011
NM,2012,3.88,0.75,-0.003,-0.0009
NM,2013,3.79,0.73,-0.003,-0.0012
NM,2014,4.39,0.63,-0.002,-0.0011
NM,2015,4.05,0.3,-0.001,-0.0004
NM,2016,3.88,0.2,-0.001,-0.0004
NM,2017,4.13,0.08,-0.0,-0.0002
NM,2018,4.63,0.07,-0.0,-0.0001
NM,2019,4.43,0.06,-0.0,-0.0001
NM,2020,3.36,0.01,-0.0,-0.0
NM,2021,2.98,0.01,-0.0,-0.0
NM,2022,4.21,0.0,0.0,0.0
NM,2023,6.7,0.0,0.0,0.0
NM,2024,6.91,0.0,0.0,0.0
NV,1999,7.48,1.25,-0.002,-0.001
NV,2000,8.24,0.89,-0.001,-0.0008
NV,2001,7.06,0.51,-0.001,-0.0005
NV,2002,6.5,0.42,-0.001,-0.0005
NV,2003,5.59,0.93,-0.003,-0.0011
NV,2004,5.74,3.63,-0.019,-0.0029
NV,2005,5.76,12.02,-0.076,-0.0074
NV,2006,6.38,19.5,-0.138,-0.01
NV,2007,6.34,23.56,-0.155,-0.0119
NV,2008,6.16,12.66,-0.068,-0.007
NV,2009,5.18,1.21,-0.005,-0.0007
NV,2010,4.96,0.86,-0.003,-0.0003
NV,2011,4.67,0.65,-0.002,-0.0003
NV,2012,4.12,1.65,-0.006,-0.0005
NV,2013,3.96,0.73,-0.003,-0.0003
NV,2014,4.47,0.2,-0.001,-0.0001
NV,2015,4.11,0.07,-0.0,-0.0
NV,2016,3.95,0.06,-0.0,-0.0001
NV,2017,4.23,0.01,-0.0,-0.0
NV,2018,4.74,0.03,-0.0,-0.0
NV,2019,4.44,0.01,-0.0,0.0
NV,2020,3.36,0.0,-0.0,-0.0
NV,2021,2.99,0.0,-0.0,-0.0
NV,2022,4.13,0.01,-0.0,-0.0
NV,2023,6.52,0.0,0.0,0.0
NV,2024,6.75,0.0,0.0,0.0
NY,1999,7.31,0.39,-0.002,-0.0013
NY,2000,8.17,0.49,-0.003,-0.0016
NY,2001,7.07,0.43,-0.003,-0.0016
NY,2002,6.5,0.4,-0.003,-0.0016
NY,2003,5.51,0.36,-0.004,-0.0019
NY,2004,5.68,0.76,-0.009,-0.004
NY,2005,5.71,1.57,-0.018,-0.0065
NY,2006,6.35,2.11,-0.025,-0.0075
NY,2007,6.34,2.63,-0.032,-0.0097
NY,2008,6.09,2.12,-0.027,-0.0078
NY,2009,5.05,0.49,-0.006,-0.0016
NY,2010,4.87,0.38,-0.004,-0.0014
NY,2011,4.51,0.29,-0.003,-0.0009
NY,2012,3.83,0.27,-0.002,-0.0008
NY,2013,3.65,0.17,-0.002,-0.0006
NY,2014,4.32,0.19,-0.002,-0.0008
NY,2015,3.98,0.07,-0.001,-0.0004
NY,2016,3.81,0.05,-0.0,-0.0002
NY,2017,4.06,0.03,-0.0,-0.0002
NY,2018,4.52,0.02,-0.0,-0.0001
NY,2019,4.38,0.02,-0.0,-0.0001
NY,2020,3.29,0.0,-0.0,-0.0
NY,2021,2.94,0.0,-0.0,-0.0
NY,2022,4.08,0.0,-0.0,-0.0
NY,2023,6.58,0.0,0.0,0.0
NY,2024,6.86,0.0,0.0,0.0
NY,2025,7.38,0.0,0.0,0.0
OH,1999,7.31,1.77,-0.01,-0.0035
OH,2000,8.21,2.32,-0.013,-0.0041
OH,2001,7.04,2.36,-0.014,-0.0042
OH,2002,6.44,2.71,-0.017,-0.005
OH,2003,5.52,2.12,-0.013,-0.0044
OH,2004,5.7,4.36,-0.028,-0.0089
OH,2005,5.78,5.48,-0.037,-0.0111
OH,2006,6.45,6.15,-0.043,-0.0122
OH,2007,6.45,6.78,-0.048,-0.0138
OH,2008,6.11,4.45,-0.034,-0.0101
OH,2009,4.98,0.86,-0.005,-0.0019
OH,2010,4.69,0.67,-0.004,-0.0016
OH,2011,4.3,0.56,-0.004,-0.0014
OH,2012,3.65,0.53,-0.004,-0.0014
OH,2013,3.59,0.48,-0.004,-0.0015
OH,2014,4.28,0.47,-0.004,-0.0016
OH,2015,3.9,0.2,-0.001,-0.0007
OH,2016,3.72,0.13,-0.001,-0.0005
OH,2017,4.03,0.11,-0.001,-0.0005
OH,2018,4.57,0.06,-0.0,-0.0003
OH,2019,4.33,0.05,-0.0,-0.0002
OH,2020,3.25,0.01,-0.0,-0.0001
OH,2021,2.95,0.01,-0.0,-0.0
OH,2022,4.26,0.0,-0.0,-0.0
OH,2023,6.72,0.0,0.0,0.0
OH,2024,6.94,0.0,0.0,0.0
OH,2025,6.83,0.0,0.0,0.0
OK,1999,7.39,1.38,-0.004,-0.0016
OK,2000,8.15,1.59,-0.005,-0.0022
OK,2001,7.04,2.0,-0.006,-0.0024
OK,2002,6.5,2.04,-0.008,-0.0027
OK,2003,5.5,1.21,-0.004,-0.0019
OK,2004,5.67,1.94,-0.008,-0.0035
OK,2005,5.73,2.28,-0.01,-0.004
OK,2006,6.43,3.08,-0.015,-0.0051
OK,2007,6.44,4.38,-0.02,-0.0072
OK,2008,6.18,3.03,-0.015,-0.0047
OK,2009,5.03,0.68,-0.003,-0.0012
OK,2010,4.75,0.55,-0.002,-0.0012
OK,2011,4.43,0.41,-0.002,-0.0013
OK,2012,3.8,0.33,-0.002,-0.0009
OK,2013,3.71,0.37,-0.002,-0.001
OK,2014,4.31,0.47,-0.002,-0.0012
OK,2015,3.97,0.32,-0.001,-0.0007
OK,2016,3.82,0.23,-0.001,-0.0007
OK,2017,4.11,0.12,-0.0,-0.0005
OK,2018,4.64,0.08,-0.001,-0.0005
OK,2019,4.42,0.06,-0.0,-0.0002
OK,2020,3.3,0.02,-0.0,-0.0
OK,2021,2.96,0.0,-0.0,-0.0
OK,2022,4.35,0.0,-0.0,-0.0
OK,2023,6.68,0.0,0.0,0.0
OK,2024,6.92,0.0,0.0,0.0
OR,1999,7.36,0.89,-0.001,-0.0009
OR,2000,8.11,0.85,-0.001,-0.0009
OR,2001,6.93,0.58,-0.001,-0.0007
OR,2002,6.39,0.42,-0.001,-0.0005
OR,2003,5.48,0.32,-0.001,-0.0006
OR,2004,5.64,0.81,-0.003,-0.0014
OR,2005,5.68,2.18,-0.008,-0.0026
OR,2006,6.33,4.92,-0.022,-0.0048
OR,2007,6.26,7.0,-0.031,-0.0064
OR,2008,6.02,4.81,-0.02,-0.0045
OR,2009,4.99,0.98,-0.004,-0.0009
OR,2010,4.86,1.03,-0.004,-0.001
OR,2011,4.53,0.49,-0.002,-0.0005
OR,2012,3.91,0.32,-0.001,-0.0003
OR,2013,3.8,0.17,-0.001,-0.0002
OR,2014,4.42,0.05,-0.0,-0.0001
OR,2015,4.05,0.03,-0.0,-0.0
OR,2016,3.89,0.01,-0.0,-0.0
OR,2017,4.14,0.04,-0.0,-0.0001
OR,2018,4.63,0.04,-0.0,-0.0001
OR,2019,4.32,0.01,-0.0,-0.0
OR,2020,3.3,0.0,-0.0,-0.0
OR,2021,2.95,0.0,-0.0,-0.0
OR,2022,4.12,0.0,-0.0,-0.0
OR,2023,6.63,0.0,-0.0,-0.0
OR,2024,6.83,0.0,0.0,0.0
OR,2025,6.62,0.0,0.0,0.0
PA,1999,7.25,0.96,-0.004,-0.0022
PA,2000,8.06,0.98,-0.004,-0.0021
PA,2001,6.94,0.85,-0.005,-0.0021
PA,2002,6.38,0.75,-0.004,-0.0019
PA,2003,5.45,0.56,-0.003,-0.0016
PA,2004,5.65,1.29,-0.008,-0.0037
PA,2005,5.73,2.23,-0.015,-0.0057
PA,2006,6.39,3.51,-0.025,-0.0079
PA,2007,6.37,4.14,-0.03,-0.0093
PA,2008,6.13,3.35,-0.024,-0.0071
PA,2009,5.03,0.65,-0.005,-0.0016
PA,2010,4.8,0.54,-0.004,-0.0013
PA,2011,4.42,0.48,-0.003,-0.0012
PA,2012,3.75,0.34,-0.002,-0.0009
PA,2013,3.62,0.34,-0.002,-0.001
PA,2014,4.32,0.36,-0.002,-0.001
PA,2015,3.96,0.2,-0.001,-0.0006
PA,2016,3.79,0.12,-0.001,-0.0005
PA,2017,4.04,0.1,-0.001,-0.0004
PA,2018,4.54,0.04,-0.0,-0.0002
PA,2019,4.3,0.02,-0.0,-0.0001
PA,2020,3.21,0.01,-0.0,-0.0
PA,2021,2.89,0.0,-0.0,-0.0
PA,2022,4.2,0.01,-0.0,-0.0
PA,2023,6.6,0.01,0.0,0.0
PA,2024,6.88,0.0,0.0,0.0
PA,2025,6.88,0.0,0.0,0.0
PR,1999,7.18,0.54,-0.002,-0.0007
PR,2000,8.14,0.43,-0.003,-0.001
PR,2001,6.26,0.47,-0.002,-0.0007
PR,2002,6.0,0.77,-0.003,-0.0012
PR,2003,5.5,1.35,-0.007,-0.0025
PR,2004,5.58,1.82,-0.011,-0.0032
PR,2005,5.52,2.66,-0.016,-0.005
PR,2006,5.95,2.98,-0.017,-0.0046
PR,2007,6.19,4.08,-0.025,-0.0053
PR,2008,5.8,3.17,-0.019,-0.0043
PR,2009,4.79,2.34,-0.012,-0.0027
PR,2010,4.71,2.26,-0.012,-0.0033
PR,2011,4.48,1.1,-0.006,-0.0011
PR,2012,3.82,2.74,-0.01,-0.0029
PR,2013,3.84,2.18,-0.013,-0.0043
PR,2014,4.13,2.64,-0.013,-0.0026
PR,2015,3.81,2.13,-0.01,-0.0044
PR,2016,3.78,1.32,-0.008,-0.001
PR,2017,4.08,1.03,-0.009,-0.0014
PR,2018,4.56,0.0,0.0,0.0
PR,2019,4.31,0.0,-0.0,0.0
PR,2020,3.07,0.0,0.0,0.0
PR,2021,2.86,0.12,-0.0,-0.0
PR,2022,4.21,0.0,0.0,0.0
PR,2023,6.74,0.0,0.0,0.0
PR,2024,7.22,0.0,0.0,0.0
RI,1999,7.34,0.13,0.0,-0.0
RI,2000,8.22,0.15,-0.001,-0.0002
RI,2001,7.0,0.03,-0.0,-0.0003
RI,2002,6.45,0.11,-0.001,-0.0004
RI,2003,5.52,0.39,-0.002,-0.0009
RI,2004,5.63,1.63,-0.009,-0.0025
RI,2005,5.7,5.45,-0.033,-0.0067
RI,2006,6.33,7.76,-0.049,-0.0077
RI,2007,6.31,8.89,-0.058,-0.0095
RI,2008,6.08,4.97,-0.034,-0.0072
RI,2009,5.03,0.83,-0.005,-0.0015
RI,2010,4.8,0.89,-0.005,-0.0012
RI,2011,4.45,0.7,-0.004,-0.0008
RI,2012,3.82,0.71,-0.003,-0.0005
RI,2013,3.74,0.55,-0.003,-0.0008
RI,2014,4.36,0.16,-0.001,-0.0001
RI,2015,3.96,0.08,-0.0,-0.0002
RI,2016,3.81,0.04,-0.0,-0.0001
RI,2017,4.04,0.04,-0.0,-0.0
RI,2018,4.57,0.03,-0.0,-0.0
RI,2019,4.33,0.02,0.0,-0.0
RI,2020,3.28,0.0,0.0,0.0
RI,2021,2.97,0.0,-0.0,0.0
RI,2022,4.12,0.0,-0.0,-0.0
RI,2023,6.76,0.0,0.0,0.0
RI,2024,6.95,0.0,0.0,0.0
SC,1999,7.31,1.53,-0.006,-0.0022
SC,2000,8.13,2.51,-0.009,-0.0025
SC,2001,6.99,2.85,-0.013,-0.0033
SC,2002,6.43,2.91,-0.014,-0.0034
SC,2003,5.41,1.34,-0.006,-0.0021
SC,2004,5.64,2.34,-0.01,-0.0037
SC,2005,5.7,2.79,-0.012,-0.0045
SC,2006,6.37,4.71,-0.024,-0.0062
SC,2007,6.35,5.46,-0.029,-0.0071
SC,2008,6.07,4.16,-0.021,-0.0053
SC,2009,4.96,0.96,-0.005,-0.0015
SC,2010,4.75,0.79,-0.003,-0.001
SC,2011,4.45,0.44,-0.002,-0.0007
SC,2012,3.83,0.33,-0.002,-0.0006
SC,2013,3.73,0.29,-0.001,-0.0006
SC,2014,4.34,0.25,-0.001,-0.0007
SC,2015,3.98,0.16,-0.0,-0.0003
SC,2016,3.82,0.08,-0.0,-0.0002
SC,2017,4.08,0.05,-0.0,-0.0001
SC,2018,4.58,0.06,-0.0,-0.0001
SC,2019,4.35,0.02,-0.0,-0.0001
SC,2020,3.28,0.0,-0.0,-0.0
SC,2021,2.95,0.0,-0.0,-0.0
SC,2022,4.23,0.01,-0.0,-0.0
SC,2023,6.59,0.0,0.0,0.0
SC,2024,6.85,0.0,0.0,0.0
SC,2025,6.53,0.0,0.0,0.0
SD,1999,7.37,0.3,-0.001,-0.0003
SD,2000,8.13,0.8,-0.001,-0.0007
SD,2001,6.88,0.6,-0.002,-0.0008
SD,2002,6.33,0.4,-0.001,-0.0004
SD,2003,5.47,0.51,-0.002,-0.0008
SD,2004,5.52,0.89,-0.003,-0.0011
SD,2005,5.61,1.37,-0.004,-0.0018
SD,2006,6.27,1.94,-0.006,-0.0026
SD,2007,6.29,2.86,-0.012,-0.0045
SD,2008,5.94,1.79,-0.006,-0.0023
SD,2009,4.95,0.55,-0.001,-0.0009
SD,2010,4.74,0.31,-0.001,-0.0006
SD,2011,4.33,0.2,-0.0,-0.0003
SD,2012,3.72,0.14,-0.0,-0.0002
SD,2013,3.56,0.11,-0.001,-0.0002
SD,2014,4.24,0.0,-0.0,-0.0
SD,2015,3.88,0.08,-0.0,-0.0002
SD,2016,3.73,0.0,0.0,0.0
SD,2017,3.94,0.04,-0.0,-0.0003
SD,2018,4.46,0.04,-0.0,-0.0001
SD,2019,4.15,0.03,-0.0,-0.0001
SD,2020,3.03,0.0,0.0,0.0
SD,2021,2.77,0.0,0.0,0.0
SD,2022,4.15,0.0,0.0,0.0
SD,2023,6.56,0.06,0.0,-0.0
SD,2024,6.78,0.0,0.0,0.0
TN,1999,7.27,1.35,-0.003,-0.0012
TN,2000,8.1,2.17,-0.005,-0.0015
TN,2001,6.89,1.89,-0.006,-0.0017
TN,2002,6.38,2.08,-0.007,-0.0018
TN,2003,5.4,1.21,-0.003,-0.0013
TN,2004,5.6,2.13,-0.007,-0.0025
TN,2005,5.68,2.69,-0.01,-0.0032
TN,2006,6.37,4.04,-0.016,-0.0044
TN,2007,6.37,6.23,-0.024,-0.0059
TN,2008,6.1,4.4,-0.02,-0.0045
TN,2009,5.01,0.91,-0.003,-0.0009
TN,2010,4.74,0.77,-0.003,-0.001
TN,2011,4.41,0.44,-0.002,-0.0005
TN,2012,3.78,0.28,-0.001,-0.0004
TN,2013,3.71,0.21,-0.001,-0.0003
TN,2014,4.33,0.21,-0.001,-0.0004
TN,2015,3.97,0.08,-0.0,-0.0001
TN,2016,3.81,0.07,-0.0,-0.0001
TN,2017,4.09,0.04,-0.0,-0.0001
TN,2018,4.61,0.04,-0.0,-0.0001
TN,2019,4.37,0.01,-0.0,-0.0
TN,2020,3.28,0.0,-0.0,-0.0
TN,2021,2.94,0.0,-0.0,-0.0
TN,2022,4.24,0.02,-0.0,-0.0
TN,2023,6.6,0.0,0.0,0.0
TN,2024,6.84,0.0,0.0,0.0
TN,2025,7.12,0.0,0.0,0.0
TX,1999,7.38,0.83,-0.001,-0.0011
TX,2000,8.11,1.51,-0.003,-0.0018
TX,2001,6.96,1.69,-0.004,-0.0018
TX,2002,6.4,1.55,-0.004,-0.0018
TX,2003,5.45,0.89,-0.002,-0.0013
