channel,avg_original_upb,avg_original_ltv,avg_original_dti_ratio,avg_original_interest_rate
B,300166.46171978256,71.14561987065069,58.33087766090318,4.1807535241208775
C,268086.9329723947,73.56092978770837,42.39200628995394,4.180164457000094
R,198673.59842126365,70.26514099719343,140.4565869304971,4.76478780430616
9,137028.9210233593,68.03337041156841,263.8020022246941,6.688571508069004
T,164109.26616174736,70.09749263342957,53.15957154848303,6.236795922833903
